refinery,month,detections
Dangote / OK LNG site (NG),2025-01-01,2
Dangote / OK LNG site (NG),2025-03-01,2
Dangote / OK LNG site (NG),2025-05-01,1
Dangote / OK LNG site (NG),2025-06-01,2
Dangote / OK LNG site (NG),2025-07-01,1
Dangote / OK LNG site (NG),2025-10-01,1
Dangote / OK LNG site (NG),2025-11-01,2
Dangote / OK LNG site (NG),2026-02-01,2
Dangote / OK LNG site (NG),2026-03-01,4
Dangote / OK LNG site (NG),2026-04-01,1
Dangote / OK LNG site (NG),2026-05-01,2
Pulau Muara Besar / Hengyi (BN),2018-05-01,1
Pulau Muara Besar / Hengyi (BN),2018-09-01,1
Pulau Muara Besar / Hengyi (BN),2018-11-01,3
Pulau Muara Besar / Hengyi (BN),2019-01-01,2
Pulau Muara Besar / Hengyi (BN),2019-10-01,3
Pulau Muara Besar / Hengyi (BN),2019-11-01,1
Pulau Muara Besar / Hengyi (BN),2019-12-01,1
Pulau Muara Besar / Hengyi (BN),2020-02-01,2
Pulau Muara Besar / Hengyi (BN),2020-04-01,2
Pulau Muara Besar / Hengyi (BN),2023-01-01,1
Pulau Muara Besar / Hengyi (BN),2023-02-01,1
Pulau Muara Besar / Hengyi (BN),2023-03-01,2
Pulau Muara Besar / Hengyi (BN),2023-04-01,1
Pulau Muara Besar / Hengyi (BN),2023-07-01,1
Pulau Muara Besar / Hengyi (BN),2024-02-01,1
Pulau Muara Besar / Hengyi (BN),2024-07-01,1
Pemex Olmeca / Dos Bocas (MX),2016-02-01,1
Pemex Olmeca / Dos Bocas (MX),2016-05-01,1
Pemex Olmeca / Dos Bocas (MX),2016-08-01,1
Pemex Olmeca / Dos Bocas (MX),2017-04-01,1
Pemex Olmeca / Dos Bocas (MX),2018-05-01,5
Pemex Olmeca / Dos Bocas (MX),2020-02-01,1
Pemex Olmeca / Dos Bocas (MX),2021-03-01,1
Pemex Olmeca / Dos Bocas (MX),2023-05-01,1
Pemex Olmeca / Dos Bocas (MX),2023-07-01,1
Pemex Olmeca / Dos Bocas (MX),2023-08-01,2
Pemex Olmeca / Dos Bocas (MX),2023-09-01,2
Pemex Olmeca / Dos Bocas (MX),2023-10-01,1
Pemex Olmeca / Dos Bocas (MX),2023-11-01,2
Pemex Olmeca / Dos Bocas (MX),2023-12-01,26
Pemex Olmeca / Dos Bocas (MX),2024-01-01,42
Pemex Olmeca / Dos Bocas (MX),2024-02-01,76
Pemex Olmeca / Dos Bocas (MX),2024-03-01,64
Pemex Olmeca / Dos Bocas (MX),2024-04-01,61
Pemex Olmeca / Dos Bocas (MX),2024-05-01,91
Pemex Olmeca / Dos Bocas (MX),2024-06-01,24
Pemex Olmeca / Dos Bocas (MX),2024-07-01,91
Pemex Olmeca / Dos Bocas (MX),2024-08-01,146
Pemex Olmeca / Dos Bocas (MX),2024-09-01,92
Pemex Olmeca / Dos Bocas (MX),2024-10-01,35
Pemex Olmeca / Dos Bocas (MX),2024-11-01,170
Pemex Olmeca / Dos Bocas (MX),2024-12-01,183
Pemex Olmeca / Dos Bocas (MX),2025-01-01,83
Pemex Olmeca / Dos Bocas (MX),2025-02-01,85
Pemex Olmeca / Dos Bocas (MX),2025-03-01,155
Pemex Olmeca / Dos Bocas (MX),2025-04-01,323
Pemex Olmeca / Dos Bocas (MX),2025-05-01,226
Pemex Olmeca / Dos Bocas (MX),2025-06-01,166
Pemex Olmeca / Dos Bocas (MX),2025-07-01,232
Pemex Olmeca / Dos Bocas (MX),2025-08-01,127
Pemex Olmeca / Dos Bocas (MX),2025-09-01,168
Pemex Olmeca / Dos Bocas (MX),2025-10-01,230
Pemex Olmeca / Dos Bocas (MX),2025-11-01,265
Pemex Olmeca / Dos Bocas (MX),2025-12-01,267
Pemex Olmeca / Dos Bocas (MX),2026-01-01,371
Pemex Olmeca / Dos Bocas (MX),2026-02-01,296
Pemex Olmeca / Dos Bocas (MX),2026-03-01,214
Pemex Olmeca / Dos Bocas (MX),2026-04-01,89
Pemex Olmeca / Dos Bocas (MX),2026-05-01,157
Pemex Olmeca / Dos Bocas (MX),2026-06-01,25
