date,ADM,BG,SOY
2023-11-15,70.14118194580078,101.26477813720703,1385.0
2023-11-16,69.83885955810547,101.0768051147461,1360.25
2023-11-17,69.87664794921875,101.90693664550781,1340.25
2023-11-20,69.54596710205078,102.76570129394531,1367.25
2023-11-21,69.65934753417969,103.2427978515625,1377.25
2023-11-22,70.2262191772461,104.52140808105469,1356.5
2023-11-24,70.1978759765625,103.0615005493164,1330.75
2023-11-27,69.14915466308594,102.61304473876953,1329.75
2023-11-28,69.961669921875,103.44318389892578,1346.5
2023-11-29,69.14915466308594,103.14737701416016,1347.0
2023-11-30,69.65934753417969,104.83628845214844,1342.75
2023-12-01,70.93479919433594,104.20653533935547,1325.0
2023-12-04,70.50965118408203,102.80387115478516,1306.25
2023-12-05,70.04669952392578,101.23900604248047,1305.5
2023-12-06,69.14915466308594,99.43560791015625,1295.5
2023-12-07,69.75382995605469,99.33064270019531,1311.75
2023-12-08,69.67823028564453,99.71231842041016,1304.0
2023-12-11,70.93479919433594,100.18941497802734,1336.0
2023-12-12,70.46240997314453,99.59780883789062,1323.75
2023-12-13,71.1048812866211,100.31344604492188,1307.5
2023-12-14,72.20082092285156,100.4852066040039,1314.0
2023-12-15,71.56781768798828,99.97948455810547,1315.75
2023-12-18,68.34608459472656,98.97760009765625,1327.0
2023-12-19,69.85773468017578,100.44702911376953,1312.5
2023-12-20,66.7777328491211,96.92609405517578,1308.25
2023-12-21,67.01392364501953,96.5921401977539,1297.25
2023-12-22,67.51465606689453,96.98333740234375,1299.75
2023-12-26,68.39332580566406,97.79439544677734,1313.25
2023-12-27,68.18546295166016,97.3364028930664,1316.75
2023-12-28,68.27994537353516,96.96427154541016,1305.25
2023-12-29,68.23271179199219,96.32495880126953,1293.5
2024-01-02,68.74288940429688,96.84976196289062,1274.0
2024-01-03,69.09246063232422,95.67610168457031,1269.5
2024-01-04,67.78865814208984,94.41658782958984,1262.0
2024-01-05,66.90055084228516,93.5291976928711,1249.75
2024-01-08,67.13675689697266,94.61697387695312,1239.5
2024-01-09,66.76828002929688,92.24105072021484,1241.5
2024-01-10,65.50226593017578,90.56169128417969,1228.75
2024-01-11,65.6345443725586,90.95289611816406,1231.25
2024-01-12,65.71957397460938,90.54259490966797,1205.75
2024-01-16,65.28495788574219,90.45671844482422,1227.25
2024-01-17,65.11489868164062,90.17046356201172,1205.75
2024-01-18,64.94483947753906,89.7887954711914,1213.5
2024-01-19,64.42520904541016,88.43384552001953,1213.25
2024-01-22,48.836177825927734,84.6934585571289,1224.25
2024-01-23,49.42194747924805,86.04839324951172,1239.5
2024-01-24,49.724281311035156,85.02741241455078,1240.25
2024-01-25,48.543296813964844,84.39764404296875,1223.0
2024-01-26,49.176300048828125,84.2545166015625,1209.25
2024-01-29,51.906742095947266,84.93199157714844,1194.25
2024-01-30,52.90821838378906,86.16289520263672,1218.75
2024-01-31,52.511409759521484,84.05414581298828,1222.25
2024-02-01,53.62625503540039,86.2583236694336,1203.25
2024-02-02,52.615333557128906,86.32510375976562,1188.5
2024-02-05,50.03606033325195,84.92244720458984,1196.25
2024-02-06,50.42341613769531,85.90526580810547,1199.5
2024-02-07,50.432960510253906,83.9205551147461,1189.0
2024-02-08,50.261287689208984,82.53700256347656,1193.5
2024-02-09,50.595096588134766,84.48352813720703,1183.5
2024-02-12,51.2531623840332,86.5254898071289,1193.0
2024-02-13,50.041934967041016,84.56940460205078,1186.25
2024-02-14,50.80491256713867,85.41862487792969,1170.5
2024-02-15,51.796783447265625,87.15186309814453,1162.25
2024-02-16,51.16732406616211,88.13239288330078,1172.25
2024-02-20,50.92889404296875,88.1227798461914,1179.0
2024-02-21,51.405757904052734,89.45899200439453,1160.75
2024-02-22,51.21501159667969,90.5837173461914,1147.75
2024-02-23,50.97657775878906,90.02616882324219,1133.0
2024-02-26,50.709537506103516,89.59357452392578,1136.0
2024-02-27,50.34712600708008,89.51667022705078,1131.25
2024-02-28,50.556941986083984,90.1126708984375,1134.0
2024-02-29,50.65231704711914,90.71829986572266,1128.25
2024-03-01,51.73003005981445,89.5070571899414,1143.0
2024-03-04,50.757225036621094,86.6039047241211,1147.0
